# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=48000 alt=3 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
948064757,298,0,0,-536870168
948064758,298,0,0,-536870168
948064759,298,288,48,-536870169
948064760,298,288,48,-536870169
948064761,298,288,48,-536870169
948064762,298,288,48,-536870169
948064763,298,288,48,-536870169
948064764,298,288,48,-536870169
948064765,298,288,48,-536870169
948064766,298,288,48,-536870169
948064767,298,288,48,-536870169
948064768,298,288,48,-536870169
948064769,298,288,48,-536870169
948064770,298,288,48,-536870169
948064771,298,288,48,-536870169
948064772,298,288,48,-536870169
948064773,298,288,48,-536870169
948064774,298,288,48,-536870169
948064775,298,288,48,-536870169
948064776,298,288,48,-536870169
948064777,298,288,48,-536870169
948064778,298,288,48,-536870169
948064779,298,288,48,-536870169
948064780,298,288,48,-536870169
948064781,298,288,48,-536870169
948064782,298,288,48,-536870169
948064783,298,288,48,-536870169
948064784,298,294,49,-536870169
948064785,298,288,48,-536870169
948064786,298,288,48,-536870169
948064787,298,288,48,-536870169
948064788,298,288,48,-536870169
948064789,298,288,48,-536870169
948064790,298,288,48,-536870169
948064791,298,288,48,-536870169
948064792,298,288,48,-536870169
948064793,298,288,48,-536870169
948064794,298,294,49,-536870169
948064795,298,288,48,-536870169
948064796,298,288,48,-536870169
948064797,298,288,48,-536870169
948064798,298,288,48,-536870169
948064799,298,288,48,-536870169
948064800,298,288,48,-536870169
948064801,298,288,48,-536870169
948064802,298,288,48,-536870169
948064803,298,288,48,-536870169
948064804,298,294,49,-536870169
948064805,298,288,48,-536870169
948064806,298,288,48,-536870169
948064807,298,288,48,-536870169
948064808,298,288,48,-536870169
948064809,298,288,48,-536870169
948064810,298,288,48,-536870169
948064811,298,288,48,-536870169
948064812,298,288,48,-536870169
948064813,298,288,48,-536870169
948064814,298,294,49,-536870169
948064815,298,288,48,-536870169
948064816,298,288,48,-536870169
948064817,298,288,48,-536870169
948064818,298,288,48,-536870169
948064819,298,288,48,-536870169
948064820,298,288,48,-536870169
948064821,298,288,48,-536870169
948064822,298,288,48,-536870169
948064823,298,288,48,-536870169
948064824,298,294,49,-536870169
948064825,298,288,48,-536870169
948064826,298,288,48,-536870169
948064827,298,288,48,-536870169
948064828,298,288,48,-536870169
948064829,298,288,48,-536870169
948064830,298,288,48,-536870169
948064831,298,288,48,-536870169
948064832,298,288,48,-536870169
948064833,298,288,48,-536870169
948064834,298,294,49,-536870169
948064835,298,288,48,-536870169
948064836,298,288,48,-536870169
948064837,298,288,48,-536870169
948064838,298,288,48,-536870169
948064839,298,288,48,-536870169
948064840,298,288,48,-536870169
948064841,298,288,48,-536870169
948064842,298,288,48,-536870169
948064843,298,288,48,-536870169
948064844,298,294,49,-536870169
948064845,298,288,48,-536870169
948064846,298,288,48,-536870169
948064847,298,288,48,-536870169
948064848,298,288,48,-536870169
948064849,298,288,48,-536870169
948064850,298,288,48,-536870169
948064851,298,288,48,-536870169
948064852,298,288,48,-536870169
948064853,298,288,48,-536870169
948064854,298,294,49,-536870169
948064855,298,288,48,-536870169
948064856,298,288,48,-536870169
948064857,298,288,48,-536870169
948064858,298,288,48,-536870169
948064859,298,288,48,-536870169
948064860,298,288,48,-536870169
948064861,298,288,48,-536870169
948064862,298,288,48,-536870169
948064863,298,288,48,-536870169
948064864,298,294,49,-536870169
948064865,298,288,48,-536870169
948064866,298,288,48,-536870169
948064867,298,288,48,-536870169
948064868,298,288,48,-536870169
948064869,298,288,48,-536870169
