# E-MU Tracker Pre isochronous capture trace
# nominal_rate_hz=96000 alt=7 bInterval=4 bytes_per_frame=6
usb_frame,requested_bytes,actual_bytes,sample_frames,status
927175124,586,528,88,-536870169
927175125,586,528,88,-536870169
927175126,586,576,96,-536870169
927175127,586,576,96,-536870169
927175128,586,576,96,-536870169
927175129,586,576,96,-536870169
927175130,586,576,96,-536870169
927175131,586,576,96,-536870169
927175132,586,576,96,-536870169
927175133,586,576,96,-536870169
927175134,586,576,96,-536870169
927175135,586,576,96,-536870169
927175136,586,576,96,-536870169
927175137,586,576,96,-536870169
927175138,586,576,96,-536870169
927175139,586,576,96,-536870169
927175140,586,576,96,-536870169
927175141,586,576,96,-536870169
927175142,586,576,96,-536870169
927175143,586,576,96,-536870169
927175144,586,576,96,-536870169
927175145,586,576,96,-536870169
927175146,586,576,96,-536870169
927175147,586,576,96,-536870169
927175148,586,576,96,-536870169
927175149,586,576,96,-536870169
927175150,586,576,96,-536870169
927175151,586,576,96,-536870169
927175152,586,576,96,-536870169
927175153,586,576,96,-536870169
927175154,586,576,96,-536870169
927175155,586,576,96,-536870169
927175156,586,576,96,-536870169
927175157,586,576,96,-536870169
927175158,586,576,96,-536870169
927175159,586,576,96,-536870169
927175160,586,576,96,-536870169
927175161,586,576,96,-536870169
927175162,586,576,96,-536870169
927175163,586,576,96,-536870169
927175164,586,576,96,-536870169
927175165,586,576,96,-536870169
927175166,586,576,96,-536870169
927175167,586,576,96,-536870169
927175168,586,576,96,-536870169
927175169,586,576,96,-536870169
927175170,586,576,96,-536870169
927175171,586,576,96,-536870169
927175172,586,576,96,-536870169
927175173,586,576,96,-536870169
927175174,586,576,96,-536870169
927175175,586,576,96,-536870169
927175176,586,576,96,-536870169
927175177,586,576,96,-536870169
927175178,586,576,96,-536870169
927175179,586,576,96,-536870169
927175180,586,576,96,-536870169
927175181,586,576,96,-536870169
927175182,586,576,96,-536870169
927175183,586,576,96,-536870169
927175184,586,576,96,-536870169
927175185,586,576,96,-536870169
